"App","Export","Method","Endpoint","ContentType","Operation","UseSlave","Source"
"管理端","batchChangeCourse","POST","/b/arrange/batchChangeCourse","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","batchDeleteByCourseid","POST","/b/arrange/batchDeleteByCourseid","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","batchDeleteByDate","POST","/b/arrange/batchDeleteByDate","application/json","write","False","common/vendor.js"
"管理端","batchStopPlan","POST","/b/arrange/batchStopPlan","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","batchStopPlanUndo","POST","/b/arrange/batchStopPlanUndo","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","cancelstopOnePlan","POST","/b/arrange/cancelstopOnePlan","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","changeOtherCourse","POST","/b/arrange/changeOtherCourse","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","checkchangeOtherCourse","POST","/b/arrange/checkchangeOtherCourse","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","checkcopyPlan","POST","/b/arrange/checkcopyPlan","application/json","query","False","common/vendor.js"
"管理端","copyPlan","POST","/b/arrange/copyPlan","application/json","write","False","common/vendor.js"
"管理端","deleteOnePlan","POST","/b/arrange/deleteOnePlan","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","findallcourse","POST","/b/arrange/findallcourse","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","findPlan","POST","/b/arrange/findPlan","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","findPlanByCourseId","POST","/b/arrange/findPlanByCourseId","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getArrangeImage","POST","/b/arrange/getArrangeImage","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getArrangeTagData","POST","/b/arrange/getArrangeTagData","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getBgColor","POST","/b/arrange/getbgcolor","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getDetailByCourseid","POST","/b/arrange/getDetailByCourseid","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getOne","POST","/b/arrange/getOne","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","addCourse","POST","/b/arrange/save","application/json","write","False","common/vendor.js"
"管理端","saveArrangeTagData","POST","/b/arrange/saveArrangeTagData","application/json","write","False","common/vendor.js"
"管理端","saveBgColor","POST","/b/arrange/savebgcolor","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","selectAllTeamCourse","POST","/b/arrange/selectAllTeamCourse","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","stopOnePlan","POST","/b/arrange/stopOnePlan","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","updateAllCourse","POST","/b/arrange/update","application/json","write","False","common/vendor.js"
"管理端","updateCourse","POST","/b/arrange/update","application/json","write","False","common/vendor.js"
"管理端","updateTime","POST","/b/arrange/update","application/json","write","False","common/vendor.js"
"管理端","updateStaffUserid","POST","/b/arrange/updateStaffUserid","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","delcard","POST","/b/card/delcard","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","findHistoryGroupName","POST","/b/card/findHistoryGroupName","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getAllCardForHasAgreement","POST","/b/card/getAllCardForHasAgreement","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getAllCardInfo","POST","/b/card/getAllCardInfo","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","allCard","POST","/b/card/getAllCardPrice","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getDelCardInfo","POST","/b/card/getDelCardInfo","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getGroupCourseList","POST","/b/card/getGroupCourseList","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getOneCardInfo","POST","/b/card/getOneCardInfo","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getOneCardPrice","POST","/b/card/getOneCardPrice","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","recoverDelCard","POST","/b/card/recoverDelCard","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","saveCard","POST","/b/card/saveCard","application/json","write","False","common/vendor.js"
"管理端","saveCommonCardCourse","POST","/b/card/saveCommonCardCourse","application/json","write","False","common/vendor.js"
"管理端","saveGroupCourseList","POST","/b/card/saveGroupCourseList","application/json","write","False","common/vendor.js"
"管理端","saveSortId","POST","/b/card/saveSortId","application/json","write","False","common/vendor.js"
"管理端","selectAllbackImg","POST","/b/card/selectAllbackImg","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","updateCardStatus","POST","/b/card/updateCardStatus","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","checkHasPlan","POST","/b/course/checkHasPlan","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","delCourse","POST","/b/course/delCourse","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","delDrainer","POST","/b/course/delDrainer","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","findTags","POST","/b/course/findTags","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getOnePrivateCourse","POST","/b/course/getOnePrivateCourse","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getRoomList","POST","/b/course/getRoomList","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getStaffInWorking","POST","/b/course/getStaffInWorking","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","getTeamCourse","POST","/b/course/getTeamCourse","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","saveCourseTag","POST","/b/course/saveCourseTag","application/json","write","False","common/vendor.js"
"管理端","savePrivateCourse","POST","/b/course/savePrivateCourse","application/json","write","False","common/vendor.js"
"管理端","saveRoom","POST","/b/course/saveRoom","application/json","write","False","common/vendor.js"
"管理端","saveTeamCourse","POST","/b/course/saveTeamCourse","application/json","write","False","common/vendor.js"
"管理端","selecctAllPriCourse","POST","/b/course/selecctAllPriCourse","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","selectAllTeamCourse","POST","/b/course/selectAllTeamCourse","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","upDrainerld","POST","/b/course/upDrainerId","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","exportcard","POST","/b/export/exportcard","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","exportuser","POST","/b/export/exportuser","application/x-www-form-urlencoded","write","False","common/vendor.js"
"管理端","findExportLog","POST","/b/export/findExportLog","application/x-www-form-urlencoded","query","False","common/vendor.js"
"管理端","calendarList","POST","/b/linkage/CalendarList","application/x-www-form-urlencoded","query","False","common/vendor.js"
