"App","Source","Line","Reference","Resolved","Delivery","Exists"
"会员端","app.json","13","static/tabbar/index_icon.png","static/tabbar/index_icon.png","local","True"
"会员端","app.json","14","static/tabbar/index_selected_icon.png","static/tabbar/index_selected_icon.png","local","True"
"会员端","app.json","19","static/tabbar/appointment_icon.png","static/tabbar/appointment_icon.png","local","True"
"会员端","app.json","20","static/tabbar/appointment_selected_icon.png","static/tabbar/appointment_selected_icon.png","local","True"
"会员端","app.json","25","static/tabbar/mine_icon.png","static/tabbar/mine_icon.png","local","True"
"会员端","app.json","26","static/tabbar/mine_selected_icon.png","static/tabbar/mine_selected_icon.png","local","True"
"会员端","app.wxss","3259","//cdn1.dcloud.net.cn/4d544a43515441774d69556c643368694e7a4a6d4d6a4a6b596d4d315a475a695954526a/img/shadow-grey.png","//cdn1.dcloud.net.cn/4d544a43515441774d69556c643368694e7a4a6d4d6a4a6b596d4d315a475a695954526a/img/shadow-grey.png","remote_url","runtime"
"会员端","app.wxss","3262","//cdn1.dcloud.net.cn/4d544a43515441774d69556c643368694e7a4a6d4d6a4a6b596d4d315a475a695954526a/img/shadow-grey.png","//cdn1.dcloud.net.cn/4d544a43515441774d69556c643368694e7a4a6d4d6a4a6b596d4d315a475a695954526a/img/shadow-grey.png","remote_url","runtime"
"会员端","app.wxss","3267","//cdn1.dcloud.net.cn/4d544a43515441774d69556c643368694e7a4a6d4d6a4a6b596d4d315a475a695954526a/img/shadow-grey.png","//cdn1.dcloud.net.cn/4d544a43515441774d69556c643368694e7a4a6d4d6a4a6b596d4d315a475a695954526a/img/shadow-grey.png","remote_url","runtime"
"会员端","app.wxss","3270","//cdn1.dcloud.net.cn/4d544a43515441774d69556c643368694e7a4a6d4d6a4a6b596d4d315a475a695954526a/img/shadow-grey.png","//cdn1.dcloud.net.cn/4d544a43515441774d69556c643368694e7a4a6d4d6a4a6b596d4d315a475a695954526a/img/shadow-grey.png","remote_url","runtime"
"会员端","components/alert-panel/panel-active.js","26","/static/imgs/success.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/alert-panel/panel-active.js","30","/static/imgs/importantNote.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/alert-panel/panel-active.js","34","/static/imgs/importantNote.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/appointment-list/index.js","38","/static/imgs/arrow.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/appointment-list/index.js","49","/static/imgs/start.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/appointment-list/index.js","90","/static/imgs/triangle_02.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/appointment-list/index.js","100","/static/imgs/cancel_appointment.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/appointment-list/index.js","110","/static/imgs/cancel_line_up.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/dialog/index.js","64","/static/imgs/modal_close.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/ff-bottom-logo/showLogo.js","34","/static/imgs/bottom_logo.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/ff-counts-card/ff-counts-card.js","104","/static/imgs/back.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/mumber-card/index.js","44","/static/imgs/card-status-1.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/mumber-card/index.js","48","/static/imgs/card-status-2.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/mumber-card/index.js","54","/static/imgs/card-status-3.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/mumber-card/index.js","62","/static/imgs/card-status-4.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/mumber-card/index.js","66","/static/imgs/card-status-5.png","common/dict.uploadURL","backend_uploadURL","runtime"
"会员端","components/mumber-card/index.js","74","/static/imgs/firstcard.png","common/dict.uploadURL","backend_uploadURL","runtime"
