"App","Severity","Type","Source","Detail"
"会员端","warning","missing_event_handler","pageCourse/clusterCourse/share-index.wxml:112","close"
"会员端","warning","missing_event_handler","pages/receiveCard/index.wxml:20","moreProject"
"管理端","warning","unregistered_navigation_target","pageChain/courseStatistics/detailed.js:253","pageReport/coach/privateDetail"
"管理端","warning","unregistered_navigation_target","pageChain/courseStatistics/detailed.js:255","pageReport/coach/leagueDelete"
"管理端","warning","unregistered_navigation_target","pageReport/coach/detailed.js:224","pageReport/coach/privateDetail"
"管理端","warning","unregistered_navigation_target","pageReport/coach/detailed.js:226","pageReport/coach/leagueDelete"
"管理端","warning","unregistered_navigation_target","pageReport/course/courseReportFormDay.js:173","pageReport/coach/privateDetail"
"管理端","warning","unregistered_navigation_target","pageReport/course/courseReportFormDay.js:175","pageReport/coach/leagueDelete"
"管理端","warning","unregistered_navigation_target","pageReport/teacherMembership/detailed.js:250","pageReport/coach/privateDetail"
"管理端","warning","unregistered_navigation_target","pageReport/teacherMembership/detailed.js:252","pageReport/coach/leagueDelete"
"管理端","warning","unregistered_navigation_target","pageReport/teacherMembership/memberShipSalaryDetail.js:206","pageReport/coach/privateDetail"
"管理端","warning","unregistered_navigation_target","pageReport/teacherMembership/memberShipSalaryDetail.js:208","pageReport/coach/leagueDelete"
"管理端","warning","unregistered_navigation_target","pageReport/teacherMembership/personalSalaryDetail.js:213","pageReport/coach/privateDetail"
"管理端","warning","unregistered_navigation_target","pageReport/teacherMembership/personalSalaryDetail.js:215","pageReport/coach/leagueDelete"
"管理端","warning","missing_event_handler","components/time-popup/time-popup.wxml:2","closeweek"
"管理端","warning","missing_event_handler","pageChain/card/home/home.wxml:72","saveWeekTime"
"管理端","warning","missing_event_handler","pageChain/card/setting-more-subject/index.wxml:23","setTeamList"
"管理端","warning","missing_event_handler","pageChain/card/setting-single-subject/index.wxml:18","moreClick"
"管理端","warning","missing_event_handler","pageChain/card/setting-single-subject/index.wxml:19","moreClick"
"管理端","warning","missing_event_handler","pageChain/cardStatistics/detailed-records.wxml:23","moreClick"
"管理端","warning","missing_event_handler","pageChain/cardStatistics/detailed-records.wxml:24","moreClick"
"管理端","warning","missing_event_handler","pageChain/cardStatistics/detailed-records.wxml:65","memberDetails"
"管理端","warning","missing_event_handler","pageChain/cardStatistics/detailed-records.wxml:69","memberDetails"
"管理端","warning","missing_event_handler","pageChain/cardStatistics/detailed-records.wxml:130","changeDate"
"管理端","warning","missing_event_handler","pageChain/cardStatistics/index.wxml:106","memberDetails"
"管理端","warning","missing_event_handler","pageChain/cardStatistics/index.wxml:110","memberDetails"
"管理端","warning","missing_event_handler","pageMember/components/quantity.wxml:11","moreClick"
"管理端","warning","missing_event_handler","pageMember/components/quantity.wxml:12","moreClick"
"管理端","warning","missing_event_handler","pageMember/del-card/del-card.wxml:16","moreProject"
"管理端","warning","missing_event_handler","pageMember/details/recordDetails.wxml:4","appointDetails"
"管理端","warning","missing_event_handler","pageReport/component/popupTop.wxml:1","close"
"管理端","warning","missing_event_handler","pageReport/course/courseReportFormDay.wxml:122","appointShowDrop"
"管理端","warning","missing_event_handler","pageReport/courseAnalyze/privateCourseDetailRank.wxml:31","headleDetails"
"管理端","warning","missing_event_handler","pageReport/courseAnalyze/privateCourseDetailRank.wxml:37","headleDetails"
"管理端","warning","missing_event_handler","pageReport/teacherMembership/personalSalaryDetail.wxml:207","showDrop"
"管理端","warning","missing_event_handler","pageReport/teacherMembership/personalSalaryDetail.wxml:215","cancelAppointment"
"管理端","warning","missing_event_handler","pageReport/teacherMembership/personalSalaryDetail.wxml:219","truant"
"管理端","warning","missing_event_handler","pageReport/teacherMembership/personalSalaryDetail.wxml:223","editAppointment"
"管理端","warning","missing_event_handler","pageReport/teacherMembership/personalSalaryDetail.wxml:227","remark"
"管理端","warning","missing_event_handler","pages/home/home.wxml:115","editremarkOrder"
"管理端","warning","missing_event_handler","pages/home/home.wxml:116","confirm"
"管理端","warning","missing_event_handler","pagesImp/card/setting-single-subject/index.wxml:18","moreClick"
"管理端","warning","missing_event_handler","pagesImp/card/setting-single-subject/index.wxml:19","moreClick"
"管理端","warning","missing_event_handler","pagesImp/subject/subject-compontent/time-popup1.wxml:2","closeweek"
"管理端","warning","missing_event_handler","pagesImp/subject/subject-personal-edit.wxml:119","headleClose"
"管理端","warning","missing_event_handler","pagesImp/subject/subject-personal-edit.wxml:120","headleClose"
"管理端","warning","missing_event_handler","pagesImp/subject/subject-personal-edit.wxml:121","headleClose"
