"App","Package","Bytes","ApproxMiB","Kind"
"管理端","main","2114098","2.016","main"
"管理端","pageChain","571858","0.545","subpackage"
"管理端","pageConfig","513296","0.49","subpackage"
"管理端","pageMember","891485","0.85","subpackage"
"管理端","pageReport","1580955","1.508","subpackage"
"管理端","pagesCourse","663789","0.633","subpackage"
"管理端","pageServer","82060","0.078","subpackage"
"管理端","pagesImp","1157870","1.104","subpackage"
"会员端","main","1782801","1.7","main"
"会员端","pageCourse","283881","0.271","subpackage"
"会员端","pageHome","99303","0.095","subpackage"
"会员端","pageMine","131954","0.126","subpackage"
